fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,officialURL,screen_name,GroupShort,screen_name_lower
Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),197490,Independent,https://twitter.com/Adamowicz_Magda,https://www.europarl.europa.eu/meps/en/197490,Adamowicz_Magda,EPP,adamowicz_magda
Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens for European Development of Bulgaria,NA,https://www.europarl.europa.eu/meps/en/189525,NA,EPP,NA
Isabella ADINOLFI,Italy,Non-attached Members,124831,Movimento 5 Stelle,https://twitter.com/Isa_Adinolfi,https://www.europarl.europa.eu/meps/en/124831,Isa_Adinolfi,"NA",isa_adinolfi
Matteo ADINOLFI,Italy,Identity and Democracy Group,197826,Lega,NA,https://www.europarl.europa.eu/meps/en/197826,NA,ID,NA
Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista,NA,https://www.europarl.europa.eu/meps/en/197403,NA,S&D,NA
Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,198096,VOX,NA,https://www.europarl.europa.eu/meps/en/198096,NA,ECR,NA
Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español,https://twitter.com/ClaraAguilera7,https://www.europarl.europa.eu/meps/en/125045,ClaraAguilera7,S&D,claraaguilera7
Scott AINSLIE,United Kingdom,Group of the Greens/European Free Alliance,197696,Green Party,https://twitter.com/scottjainslie,https://www.europarl.europa.eu/meps/en/197696,scottjainslie,Greens–EFA,scottjainslie
Alexander ALEXANDROV YORDANOV,Bulgaria,Group of the European People's Party (Christian Democrats),197836,Union of Democratic Forces,NA,https://www.europarl.europa.eu/meps/en/197836,NA,EPP,NA
François ALFONSI,France,Group of the Greens/European Free Alliance,96750,Régions et Peuples Solidaires,NA,https://www.europarl.europa.eu/meps/en/96750,NA,Greens–EFA,NA
Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe Group,197848,Movement for Rights and Freedoms,NA,https://www.europarl.europa.eu/meps/en/197848,NA,RE,NA
Christian ALLARD,United Kingdom,Group of the Greens/European Free Alliance,197644,Scottish National Party,https://twitter.com/christia_allard,https://www.europarl.europa.eu/meps/en/197644,christia_allard,Greens–EFA,christia_allard
Abir AL SAHLANI,Sweden,Renew Europe Group,197400,Centerpartiet,https://twitter.com/abiralsahlani,https://www.europarl.europa.eu/meps/en/197400,abiralsahlani,RE,abiralsahlani
Álvaro AMARO,Portugal,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata,NA,https://www.europarl.europa.eu/meps/en/197746,NA,EPP,NA
Andris AMERIKS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,"""Saskaņa"" sociāldemokrātiskā partija",https://twitter.com/AndrisAmeriks,https://www.europarl.europa.eu/meps/en/197783,AndrisAmeriks,S&D,andrisameriks
Christine ANDERSON,Germany,Identity and Democracy Group,197475,Alternative für Deutschland,NA,https://www.europarl.europa.eu/meps/en/197475,NA,ID,NA
