fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,faceboook_urls,officialURL,GroupShort,screen_name,user_id
Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),197490,Independent,https://twitter.com/Adamowicz_Magda,https://www.facebook.com/adamowicz.magdalena,https://www.europarl.europa.eu/meps/en/197490,EPP,Adamowicz_Magda,1100499396041625601
Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens for European Development of Bulgaria,NA,https://www.facebook.com/AdemovAsim/,https://www.europarl.europa.eu/meps/en/189525,EPP,AdemovAsim,907625645773086720
Isabella ADINOLFI,Italy,Non-attached Members,124831,Movimento 5 Stelle,https://twitter.com/Isa_Adinolfi,NA,https://www.europarl.europa.eu/meps/en/124831,"NA",Isa_Adinolfi,2195622679
Matteo ADINOLFI,Italy,Identity and Democracy Group,197826,Lega,NA,https://www.facebook.com/MatteoAdinolfiLega,https://www.europarl.europa.eu/meps/en/197826,ID,adinolfi_matteo,1124950201523941376
Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista,NA,https://www.facebook.com/alexagiussaliba,https://www.europarl.europa.eu/meps/en/197403,S&D,alexagiussaliba,91314199
Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,198096,VOX,NA,NA,https://www.europarl.europa.eu/meps/en/198096,ECR,MazalyAguilar,1149649381286711296
Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español,https://twitter.com/ClaraAguilera7,https://www.facebook.com/profile.php?id=100001665941538,https://www.europarl.europa.eu/meps/en/125045,S&D,ClaraAguilera7,939966774
Scott AINSLIE,United Kingdom,Group of the Greens/European Free Alliance,197696,Green Party,https://twitter.com/scottjainslie,NA,https://www.europarl.europa.eu/meps/en/197696,Greens–EFA,ScottMEPLondon,1301100498
Alexander ALEXANDROV YORDANOV,Bulgaria,Group of the European People's Party (Christian Democrats),197836,Union of Democratic Forces,NA,NA,https://www.europarl.europa.eu/meps/en/197836,EPP,NA,NA
François ALFONSI,France,Group of the Greens/European Free Alliance,96750,Régions et Peuples Solidaires,NA,NA,https://www.europarl.europa.eu/meps/en/96750,Greens–EFA,F_Alfonsi,60264136
Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe Group,197848,Movement for Rights and Freedoms,NA,NA,https://www.europarl.europa.eu/meps/en/197848,RE,NA,NA
Christian ALLARD,United Kingdom,Group of the Greens/European Free Alliance,197644,Scottish National Party,https://twitter.com/christia_allard,https://www.facebook.com/Christian-Allard-SNP-188389381206166,https://www.europarl.europa.eu/meps/en/197644,Greens–EFA,Christia_Allard,932563111
Abir AL-SAHLANI,Sweden,Renew Europe Group,197400,Centerpartiet,https://twitter.com/abiralsahlani,https://www.facebook.com/abirtillbryssel/,https://www.europarl.europa.eu/meps/en/197400,RE,AbirAlsahlani,18690932
Álvaro AMARO,Portugal,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata,NA,NA,https://www.europarl.europa.eu/meps/en/197746,EPP,NA,NA
